Customer ID#,Account No.,Balance,Type,Currency
ID1,BOS963211,962510,SAVINGS,USD
ID2,BOS85992,989898,CURRENT,AUD
ID3,BOS656613,595290,CURRENT,USD
ID4,BOS14824,772578,SAVINGS,INR
ID5,BOS657505,95538,SAVINGS,CAD
ID6,BOS66196,961629,CURRENT,SGD
ID7,BOS401497,873783,CURRENT,CHF
ID8,BOS928728,887322,CURRENT,GBP
ID9,BOS296569,293795,SAVINGS,HKD
ID10,BOS4763010,136845,CURRENT,EUR
ID11,BOS673811,164231,SAVINGS,INR
ID12,BOS4824812,728255,CURRENT,INR
ID13,BOS627413,652228,SAVINGS,EUR
ID14,BOS2320614,15614,SAVINGS,SGD
ID15,BOS3343815,974080,SAVINGS,SEK
ID16,BOS6687816,861228,SAVINGS,HKD
ID17,BOS8763417,647402,CURRENT,EUR
ID18,BOS27018,728214,CURRENT,SEK
ID19,BOS1793019,513073,CURRENT,USD
ID20,BOS4858520,529897,SAVINGS,AUD
ID21,BOS7780921,740159,CURRENT,SGD
ID22,BOS9222022,111290,CURRENT,SEK
ID23,BOS2996223,568676,SAVINGS,AUD
ID24,BOS7305924,506455,CURRENT,INR
ID25,BOS5970425,844120,CURRENT,CAD
ID26,BOS4615426,352920,SAVINGS,EUR
ID27,BOS412527,620577,SAVINGS,USD
ID28,BOS4478228,524550,CURRENT,SGD
ID29,BOS3351029,678598,CURRENT,EUR
ID30,BOS7971730,911246,SAVINGS,CHF
ID31,BOS3980631,824964,CURRENT,SEK
ID32,BOS2411032,732892,CURRENT,CHF
ID33,BOS8745633,390311,CURRENT,CHF
ID34,BOS6735334,25883,SAVINGS,CHF
ID35,BOS6493235,433413,CURRENT,GBP
ID36,BOS952736,832935,CURRENT,USD
ID37,BOS5494037,383775,CURRENT,EUR
ID38,BOS9321638,344560,CURRENT,AUD
ID39,BOS7293539,774925,SAVINGS,HKD
ID40,BOS7065240,910339,SAVINGS,INR
ID41,BOS9590341,356853,CURRENT,INR
ID42,BOS7414742,963824,CURRENT,SEK
